item,idx,hypernym_pred,swapped_pred,hypernym_yes,swapped_yes
1,1,Yes,Yes,0.5180776119232178,0.5827399492263794
2,5,Yes,Yes,0.529048502445221,0.5483788251876831
3,9,No,No,0.44688811898231506,0.4496590793132782
4,13,Yes,No,0.5178572535514832,0.4715587794780731
5,17,No,No,0.47969815135002136,0.4154694080352783
6,21,No,No,0.4437575042247772,0.36256468296051025
7,25,No,No,0.43210598826408386,0.38093098998069763
8,29,No,No,0.47780686616897583,0.4686618745326996
9,33,Yes,No,0.613410472869873,0.4961458146572113
10,37,Yes,Yes,0.6178614497184753,0.5816003084182739
11,41,Yes,Yes,0.6464296579360962,0.551386296749115
12,45,Yes,Yes,0.5200647115707397,0.5425543785095215
13,49,Yes,Yes,0.5249983668327332,0.5987710952758789
14,53,No,No,0.4698294699192047,0.3963746130466461
15,57,Yes,No,0.5241854786872864,0.4498971104621887
16,61,No,Yes,0.48099619150161743,0.5268496870994568
17,65,Yes,Yes,0.5420690178871155,0.5462939739227295
18,69,Yes,Yes,0.5627312660217285,0.5562180280685425
19,73,Yes,Yes,0.5709038376808167,0.5142236351966858
20,77,Yes,No,0.5292820930480957,0.49291491508483887
21,81,Yes,Yes,0.5603566765785217,0.5382952690124512
22,85,Yes,Yes,0.5787786841392517,0.5874401330947876
23,89,No,Yes,0.5009143352508545,0.5329881906509399
24,93,Yes,Yes,0.6077337861061096,0.5367472171783447
25,97,Yes,Yes,0.5126652121543884,0.606701672077179
26,101,No,Yes,0.5004014372825623,0.5475054383277893
27,105,No,No,0.4675338566303253,0.34862032532691956
28,109,No,Yes,0.4743186831474304,0.522756040096283
29,113,No,No,0.42514804005622864,0.41561970114707947
30,117,No,No,0.4508223831653595,0.4374392330646515
31,121,No,Yes,0.47129303216934204,0.5179965496063232
32,125,No,Yes,0.4556731581687927,0.5422248244285583
33,129,No,No,0.4482852816581726,0.48850512504577637
34,133,Yes,Yes,0.5187360048294067,0.5611817836761475
35,137,Yes,Yes,0.5298022031784058,0.6190285086631775
36,141,Yes,Yes,0.5055962800979614,0.5507746934890747
37,145,No,Yes,0.49848702549934387,0.5125782489776611
38,149,No,No,0.4438943564891815,0.48760148882865906
39,153,No,No,0.5002646446228027,0.4992122948169708
40,157,Yes,Yes,0.580594539642334,0.5489098429679871
41,161,Yes,Yes,0.5320881605148315,0.543956458568573
42,165,No,Yes,0.4552690386772156,0.525456964969635
43,169,No,No,0.42714205384254456,0.42516055703163147
44,173,No,No,0.4328179359436035,0.43032920360565186
45,177,Yes,Yes,0.5316639542579651,0.5493562817573547
46,181,Yes,Yes,0.5488913655281067,0.5607288479804993
47,185,No,No,0.4212311804294586,0.35723817348480225
48,189,No,No,0.4581705629825592,0.4513799548149109
49,193,Yes,No,0.5125614404678345,0.47623583674430847
50,197,Yes,Yes,0.5181217789649963,0.5535210371017456
51,201,Yes,No,0.521018385887146,0.4916294813156128
52,205,No,No,0.4700334668159485,0.4528857171535492
53,209,No,No,0.46778059005737305,0.4469093382358551
54,213,Yes,Yes,0.6097732782363892,0.5632675290107727
55,217,Yes,Yes,0.5930342674255371,0.6010527014732361
56,221,No,No,0.45310264825820923,0.47316139936447144
57,225,No,Yes,0.447440505027771,0.5175186395645142
58,229,No,No,0.42595207691192627,0.4794993996620178
59,233,Yes,No,0.5069918632507324,0.4477679133415222
60,237,Yes,Yes,0.5840837359428406,0.5821943283081055
61,241,Yes,Yes,0.5634691119194031,0.593845784664154
62,245,Yes,No,0.5718501806259155,0.4936247169971466
63,249,Yes,Yes,0.5766116976737976,0.5632069706916809
64,253,Yes,Yes,0.591167688369751,0.5837665796279907
65,257,Yes,No,0.545857310295105,0.48093289136886597
66,261,Yes,No,0.5081414580345154,0.3896631896495819
67,265,No,No,0.45864346623420715,0.33638444542884827
68,269,No,No,0.4927317500114441,0.4240395426750183
69,273,Yes,Yes,0.6563381552696228,0.5499431490898132
70,277,Yes,Yes,0.6961639523506165,0.5978909730911255
71,281,Yes,Yes,0.5036116242408752,0.5871995687484741
72,285,Yes,Yes,0.5111138820648193,0.547088623046875
73,289,No,No,0.4594329595565796,0.3221258223056793
74,293,Yes,Yes,0.5625035762786865,0.523067831993103
75,297,Yes,No,0.5462839603424072,0.48568564653396606
76,301,No,Yes,0.4936031401157379,0.5347386598587036
77,305,No,No,0.48721832036972046,0.4927369952201843
78,309,Yes,No,0.5698221325874329,0.4929262101650238
79,313,No,No,0.40130218863487244,0.4932391941547394
80,317,No,Yes,0.4248538613319397,0.5212258100509644
81,321,Yes,Yes,0.5339978337287903,0.5163888335227966
82,325,Yes,Yes,0.5520220994949341,0.5491716265678406
83,329,Yes,Yes,0.6290572285652161,0.5081638097763062
84,333,Yes,No,0.6020399928092957,0.4176448583602905
85,337,Yes,No,0.6738612055778503,0.5031639337539673
86,341,Yes,Yes,0.6208056807518005,0.5101742148399353
87,345,Yes,No,0.513140857219696,0.4840969145298004
88,349,No,Yes,0.458865225315094,0.5223429799079895
89,353,No,Yes,0.4970356822013855,0.5639253854751587
90,357,Yes,No,0.592192530632019,0.4673817753791809
91,361,No,No,0.40855398774147034,0.47684457898139954
92,365,No,No,0.4481886327266693,0.4610663056373596
93,369,Yes,Yes,0.5635705590248108,0.5300845503807068
94,373,Yes,No,0.5833368897438049,0.41835296154022217
95,377,Yes,Yes,0.6510490775108337,0.5602827072143555
96,381,Yes,Yes,0.6795827150344849,0.6140398979187012
97,385,Yes,Yes,0.6000792980194092,0.5350779294967651
98,389,Yes,Yes,0.6151761412620544,0.5885670781135559
99,393,Yes,No,0.6252622008323669,0.4763665795326233
100,397,Yes,No,0.5982170701026917,0.49937862157821655
101,401,Yes,Yes,0.5675567984580994,0.5177882313728333
102,405,Yes,No,0.5102386474609375,0.46995463967323303
103,409,No,No,0.45988816022872925,0.3656967580318451
104,413,Yes,No,0.5547059774398804,0.49550682306289673
105,417,Yes,Yes,0.5480648875236511,0.561550498008728
106,421,Yes,No,0.5455570816993713,0.33892396092414856
107,425,Yes,Yes,0.5772459506988525,0.5643308758735657
108,429,Yes,Yes,0.5492157340049744,0.527720034122467
109,433,No,No,0.4623289108276367,0.4906875491142273
110,437,Yes,Yes,0.5686337351799011,0.5521140098571777
111,441,Yes,Yes,0.5819690823554993,0.5287293195724487
112,445,Yes,Yes,0.6712390184402466,0.638968288898468
113,449,Yes,Yes,0.5885651111602783,0.5701534748077393
114,453,Yes,No,0.6116880774497986,0.47254061698913574
115,457,Yes,No,0.5023499727249146,0.377765953540802
116,461,Yes,No,0.5659438371658325,0.4921342730522156
117,465,Yes,Yes,0.5356417298316956,0.5180590152740479
118,469,Yes,Yes,0.5497984886169434,0.5573753118515015
119,473,Yes,No,0.5041604042053223,0.34287935495376587
120,477,Yes,Yes,0.5647106766700745,0.5650090575218201
121,481,Yes,Yes,0.5690096616744995,0.5933544039726257
122,485,Yes,Yes,0.5714085102081299,0.5797908902168274
123,489,Yes,Yes,0.6279581785202026,0.5840449929237366
124,493,Yes,Yes,0.643907368183136,0.6007211804389954
125,497,Yes,Yes,0.5173482298851013,0.5044404864311218
126,501,No,Yes,0.46468600630760193,0.5069934725761414
127,505,Yes,Yes,0.5670733451843262,0.5307924747467041
128,509,Yes,No,0.6132621765136719,0.48407748341560364
