item,idx,hypernym_pred,swapped_pred,hypernym_yes,swapped_yes
1,1,No,No,0.26781079173088074,0.27861666679382324
2,5,No,No,0.2941935062408447,0.3254237174987793
3,9,No,No,0.34206295013427734,0.24048323929309845
4,13,No,No,0.27959924936294556,0.2904875874519348
5,17,No,No,0.27441805601119995,0.29388490319252014
6,21,No,No,0.23826934397220612,0.27376821637153625
7,25,No,No,0.25549671053886414,0.28638219833374023
8,29,No,No,0.28454747796058655,0.2967228591442108
9,33,No,No,0.2915712893009186,0.26243144273757935
10,37,No,No,0.28789022564888,0.3269008696079254
11,41,No,No,0.32694968581199646,0.30235639214515686
12,45,No,No,0.27949172258377075,0.32197046279907227
13,49,No,No,0.269991397857666,0.3308425843715668
14,53,No,No,0.3061908483505249,0.2975635230541229
15,57,No,No,0.3211939334869385,0.30184218287467957
16,61,No,No,0.31987833976745605,0.3014141321182251
17,65,No,No,0.38424110412597656,0.3612730801105499
18,69,No,No,0.2784392535686493,0.3479241132736206
19,73,No,No,0.2976189851760864,0.28722235560417175
20,77,No,No,0.28475141525268555,0.29431700706481934
21,81,No,No,0.2424667626619339,0.2611137926578522
22,85,No,No,0.2628541588783264,0.26775848865509033
23,89,No,No,0.34643667936325073,0.3144308030605316
24,93,No,No,0.32209786772727966,0.30737072229385376
25,97,No,No,0.23884007334709167,0.24667870998382568
26,101,No,No,0.2549535930156708,0.240417942404747
27,105,No,No,0.24054904282093048,0.15492233633995056
28,109,No,No,0.25835880637168884,0.212062269449234
29,113,No,No,0.2738725543022156,0.30606886744499207
30,117,No,No,0.2754831910133362,0.28892427682876587
31,121,No,No,0.3034217059612274,0.31053343415260315
32,125,No,No,0.3141750991344452,0.3208908438682556
33,129,No,No,0.2848237454891205,0.2441047579050064
34,133,No,No,0.36328402161598206,0.28623244166374207
35,137,No,No,0.33913663029670715,0.2982059717178345
36,141,No,No,0.3814548850059509,0.31606361269950867
37,145,No,No,0.30016806721687317,0.31509724259376526
38,149,No,No,0.2823461592197418,0.300746351480484
39,153,No,No,0.29160046577453613,0.2919882535934448
40,157,No,No,0.3386698365211487,0.3311225175857544
41,161,No,No,0.3315121531486511,0.3272860050201416
42,165,No,No,0.28215473890304565,0.2619849145412445
43,169,No,No,0.28252026438713074,0.26225101947784424
44,173,No,No,0.2915826141834259,0.240897074341774
45,177,No,No,0.35896700620651245,0.30841660499572754
46,181,No,No,0.44761335849761963,0.3378722667694092
47,185,No,No,0.16535884141921997,0.2655801773071289
48,189,No,No,0.1857134848833084,0.2774433195590973
49,193,No,No,0.2952255308628082,0.30461615324020386
50,197,No,No,0.34266197681427,0.35406816005706787
51,201,No,No,0.34937527775764465,0.33848196268081665
52,205,No,No,0.3168681561946869,0.3449239134788513
53,209,No,No,0.2993677258491516,0.3077341616153717
54,213,No,No,0.26808494329452515,0.2779567539691925
55,217,No,No,0.3122943341732025,0.3234604597091675
56,221,No,No,0.34381404519081116,0.2801665663719177
57,225,No,No,0.3481156527996063,0.3140796422958374
58,229,No,No,0.31428834795951843,0.27102571725845337
59,233,No,No,0.3129062056541443,0.30145832896232605
60,237,No,No,0.36062338948249817,0.3431355655193329
61,241,No,No,0.3476506769657135,0.34549620747566223
62,245,No,No,0.2669435739517212,0.2553221583366394
63,249,No,No,0.3083484172821045,0.3492089807987213
64,253,No,No,0.29520270228385925,0.3441513478755951
65,257,No,No,0.33879271149635315,0.32713890075683594
66,261,No,No,0.3105878233909607,0.310052752494812
67,265,No,No,0.2724253237247467,0.2815558910369873
68,269,No,No,0.30030351877212524,0.2995694577693939
69,273,No,No,0.33476701378822327,0.3178395926952362
70,277,No,No,0.24842599034309387,0.33912014961242676
71,281,No,No,0.34848278760910034,0.26386556029319763
72,285,No,No,0.32869070768356323,0.2916923761367798
73,289,No,No,0.2984715402126312,0.18561600148677826
74,293,No,No,0.40515032410621643,0.34344223141670227
75,297,No,No,0.3159310519695282,0.29035651683807373
76,301,No,No,0.2772354185581207,0.29203474521636963
77,305,No,No,0.2542262375354767,0.25531864166259766
78,309,No,No,0.3333916664123535,0.31288495659828186
79,313,No,No,0.32965171337127686,0.31767162680625916
80,317,No,No,0.3373686969280243,0.31786152720451355
81,321,No,No,0.36450299620628357,0.3247792720794678
82,325,No,No,0.3627094030380249,0.315973162651062
83,329,No,No,0.370462566614151,0.2316282093524933
84,333,No,No,0.3857421576976776,0.24380096793174744
85,337,No,No,0.406278520822525,0.29277491569519043
86,341,No,No,0.43257400393486023,0.3300970792770386
87,345,No,No,0.3369928300380707,0.3635175824165344
88,349,No,No,0.31778424978256226,0.3518678843975067
89,353,No,No,0.3364577889442444,0.382170170545578
90,357,No,No,0.3080994784832001,0.23409929871559143
91,361,No,No,0.2609221041202545,0.29851365089416504
92,365,No,No,0.25980204343795776,0.29052701592445374
93,369,No,No,0.38537877798080444,0.3714050054550171
94,373,No,No,0.4090297818183899,0.31518638134002686
95,377,No,No,0.23890575766563416,0.2840411067008972
96,381,No,No,0.2805231213569641,0.3490059971809387
97,385,No,No,0.3419164717197418,0.33129608631134033
98,389,No,No,0.35204920172691345,0.35111117362976074
99,393,No,No,0.281126469373703,0.26932817697525024
100,397,No,No,0.36214470863342285,0.33800560235977173
101,401,No,No,0.35806092619895935,0.3479751646518707
102,405,No,No,0.2903231084346771,0.29387450218200684
103,409,No,No,0.26545920968055725,0.2754565179347992
104,413,No,No,0.3092500567436218,0.3162093162536621
105,417,No,No,0.3122868537902832,0.345707505941391
106,421,No,No,0.28572890162467957,0.18262435495853424
107,425,No,No,0.32228583097457886,0.2894209325313568
108,429,No,No,0.3144263029098511,0.25591841340065
109,433,No,No,0.2965107560157776,0.28124749660491943
110,437,No,No,0.23155757784843445,0.22833600640296936
111,441,No,No,0.21133384108543396,0.261484831571579
112,445,No,No,0.338338702917099,0.3337731659412384
113,449,No,No,0.31103265285491943,0.3167027235031128
114,453,No,No,0.3131970763206482,0.27853766083717346
115,457,No,No,0.3124546706676483,0.29052266478538513
116,461,No,No,0.3538750112056732,0.3087000548839569
117,465,No,No,0.3588916063308716,0.3362010717391968
118,469,No,No,0.3686676025390625,0.3542191982269287
119,473,No,No,0.2732451260089874,0.19725200533866882
120,477,No,No,0.307222843170166,0.3203108608722687
121,481,No,No,0.3049696683883667,0.3474968671798706
122,485,No,No,0.30498266220092773,0.32729411125183105
123,489,No,No,0.2982844114303589,0.323708176612854
124,493,No,No,0.32586732506752014,0.31163114309310913
125,497,No,No,0.2154926210641861,0.2602829337120056
126,501,No,No,0.23212102055549622,0.2692314088344574
127,505,No,No,0.3022906184196472,0.3017781972885132
128,509,No,No,0.3270263373851776,0.28149229288101196
129,513,No,No,0.306478351354599,0.3103578984737396
130,517,No,No,0.32748690247535706,0.2866356074810028
131,521,No,No,0.3667064309120178,0.2701142728328705
132,525,No,No,0.2577868402004242,0.2519584894180298
133,529,No,No,0.320086807012558,0.32684004306793213
134,533,No,No,0.24079060554504395,0.2806326448917389
135,537,No,No,0.2657551169395447,0.31021782755851746
136,541,No,No,0.25057464838027954,0.2857632040977478
137,545,No,No,0.2730271816253662,0.2443470060825348
138,549,No,No,0.3281823694705963,0.26414772868156433
139,553,No,No,0.3105478882789612,0.324745774269104
140,557,No,No,0.2950548827648163,0.3095285892486572
141,561,No,No,0.3235636353492737,0.315740704536438
142,565,No,No,0.31982600688934326,0.3213052451610565
