item,label,p_yes
1,Yes,0.7459311485290527
2,Yes,0.8591500520706177
3,Yes,0.7586216926574707
4,Yes,0.9692794680595398
5,No,0.12992490828037262
6,Yes,0.629713237285614
7,Yes,0.5479271411895752
8,Yes,0.5561231970787048
9,No,0.05160214751958847
10,No,0.12579560279846191
11,No,0.020332857966423035
12,No,0.03844377025961876
13,No,0.18998029828071594
14,No,0.17980603873729706
15,No,0.4293574094772339
16,No,0.30363377928733826
17,No,0.04582180082798004
18,No,0.023617854341864586
19,No,0.03662936016917229
20,No,0.023819249123334885
21,Yes,0.535206139087677
22,Yes,0.683867871761322
23,Yes,0.85061115026474
24,Yes,0.880519449710846
25,No,0.4949495196342468
26,Yes,0.6759843826293945
27,Yes,0.6208488941192627
28,Yes,0.798095166683197
29,No,0.13433125615119934
30,No,0.28559252619743347
31,Yes,0.6500687003135681
32,Yes,0.6615688800811768
33,No,0.02056514099240303
34,No,0.0330289751291275
35,No,0.02727642096579075
36,No,0.08313537389039993
37,No,0.036763932555913925
38,Yes,0.5725061297416687
39,No,0.01774934120476246
40,No,0.1815362423658371
41,No,0.4510191082954407
42,Yes,0.8334599733352661
43,Yes,0.6986885070800781
44,Yes,0.5858959555625916
45,No,0.43639975786209106
46,No,0.3913518488407135
47,No,0.4801473915576935
48,No,0.39973610639572144
49,Yes,0.5532078742980957
50,Yes,0.900627851486206
51,Yes,0.5286908149719238
52,Yes,0.7755059003829956
53,Yes,0.5571348667144775
54,Yes,0.8877682089805603
55,No,0.18885700404644012
56,No,0.4482291638851166
57,No,0.16427749395370483
58,Yes,0.9752564430236816
59,No,0.4580906331539154
60,No,0.4800158441066742
61,No,0.3271232545375824
62,Yes,0.6446951031684875
63,No,0.17977480590343475
64,No,0.21376961469650269
65,No,0.42856505513191223
66,Yes,0.5365831255912781
67,No,0.14999276399612427
68,No,0.08593433350324631
69,No,0.0694718062877655
70,No,0.02737974189221859
71,No,0.08299241960048676
72,No,0.033200521022081375
73,No,0.159520223736763
74,No,0.10990413278341293
75,No,0.235646590590477
76,No,0.28371891379356384
77,No,0.1935167908668518
78,No,0.47592252492904663
79,No,0.2730613946914673
80,Yes,0.5357677936553955
81,Yes,0.8726741075515747
82,Yes,0.8837031722068787
83,No,0.16485020518302917
84,No,0.30824509263038635
85,Yes,0.8281579613685608
86,Yes,0.79018235206604
87,Yes,0.8035865426063538
88,Yes,0.7873827815055847
89,No,0.019149314612150192
90,No,0.1134500503540039
91,No,0.046085529029369354
92,No,0.1805131882429123
93,No,0.00980046670883894
94,No,0.004807204473763704
95,No,0.009964284487068653
96,No,0.009098530746996403
97,No,0.16008515655994415
98,Yes,0.8645657300949097
99,No,0.1566421091556549
100,Yes,0.5301846861839294
101,No,0.13481728732585907
102,No,0.11922577023506165
103,No,0.08949346095323563
104,No,0.07341616600751877
105,No,0.19376817345619202
106,No,0.32081836462020874
107,Yes,0.6533809304237366
108,Yes,0.5584229230880737
109,No,0.06256018579006195
110,No,0.08636998385190964
111,No,0.11218873411417007
112,No,0.1638764888048172
113,No,0.23636917769908905
114,Yes,0.8123610615730286
115,Yes,0.5610977411270142
116,Yes,0.7482703924179077
117,No,0.17845532298088074
118,No,0.26738762855529785
119,Yes,0.6028289794921875
120,Yes,0.5261587500572205
121,No,0.46505674719810486
122,Yes,0.5332968235015869
123,Yes,0.619487464427948
124,Yes,0.6492407917976379
125,No,0.20593670010566711
126,No,0.2592860162258148
127,No,0.1705387532711029
