lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
panda,panda,pandas,a panda,are a type of,pandas are daxable.,pandas have daxes.,p,
lamb chop,lamb chop,lamb chops,a lamb chop,are a type of,lamb chops are daxable.,lamb chops have daxes.,p,
drawer,drawer,drawers,a drawer,are a type of,drawers are daxable.,drawers have daxes.,p,
figurine,figurine,figurines,a figurine,are a type of,figurines are daxable.,figurines have daxes.,p,
parsley,parsley,parsleys,parsley,is a type of,parsley is daxable.,parsley has daxes.,s,
chocolate,chocolate,chocolates,a chocolate,are a type of,chocolates are daxable.,chocolates have daxes.,p,
outerwear,outerwear,outerwear,outerwear,is a type of,outerwear is daxable.,outerwear has daxes.,s,
knob,knob,knobs,a knob,are a type of,knobs are daxable.,knobs have daxes.,p,
watch,watch,watches,a watch,are a type of,watches are daxable.,watches have daxes.,p,
roof rack,roof rack,roof racks,a roof rack,are a type of,roof racks are daxable.,roof racks have daxes.,p,
porcupine,porcupine,porcupines,a porcupine,are a type of,porcupines are daxable.,porcupines have daxes.,p,
torpedo,torpedo,torpedoes,a torpedo,are a type of,torpedoes are daxable.,torpedoes have daxes.,p,
cornmeal,cornmeal,cornmeal,cornmeal,is a type of,cornmeal is daxable.,cornmeal has daxes.,s,
scraper,scraper,scrapers,a scraper,are a type of,scrapers are daxable.,scrapers have daxes.,p,
ginger,ginger,gingers,ginger,is a type of,ginger is daxable.,ginger has daxes.,s,
cornbread,cornbread,cornbreads,cornbread,is a type of,cornbread is daxable.,cornbread has daxes.,s,
jelly bean,jelly bean,jelly beans,a jelly bean,are a type of,jelly beans are daxable.,jelly beans have daxes.,p,
box,box,boxes,a box,are a type of,boxes are daxable.,boxes have daxes.,p,
office supply,office supply,office supplies,an office supply,are a type of,office supplies are daxable.,office supplies have daxes.,p,
wheel,wheel,wheels,a wheel,are a type of,wheels are daxable.,wheels have daxes.,p,
pear,pear,pears,a pear,are a type of,pears are daxable.,pears have daxes.,p,
car seat,car seat,car seats,a car seat,are a type of,car seats are daxable.,car seats have daxes.,p,
ketchup,ketchup,ketchups,ketchup,is a type of,ketchup is daxable.,ketchup has daxes.,s,
peg,peg,pegs,a peg,are a type of,pegs are daxable.,pegs have daxes.,p,
gingerbread man,gingerbread man,gingerbread men,a gingerbread man,are a type of,gingerbread men are daxable.,gingerbread men have daxes.,p,
duckling,duckling,ducklings,a duckling,are a type of,ducklings are daxable.,ducklings have daxes.,p,
clam,clam,clams,a clam,are a type of,clams are daxable.,clams have daxes.,p,
