idx,category,hypernym,negative_sample,hypernym_sentence,negative_sentence
1,rubber band,office supply,animal,rubber bands are a type of office supply,rubber bands are a type of animal
2,rubber band,office supply,water vehicle,rubber bands are a type of office supply,rubber bands are a type of water vehicle
3,rubber band,office supply,livestock,rubber bands are a type of office supply,rubber bands are a type of livestock
4,rubber band,office supply,fruit,rubber bands are a type of office supply,rubber bands are a type of fruit
5,rubber band,fastener,women's clothing,rubber bands are a type of fastener,rubber bands are a type of women's clothes
6,rubber band,fastener,plant,rubber bands are a type of fastener,rubber bands are a type of plant
7,rubber band,fastener,bird,rubber bands are a type of fastener,rubber bands are a type of bird
8,rubber band,fastener,kitchen tool,rubber bands are a type of fastener,rubber bands are a type of kitchen tool
9,whip,weapon,auto part,whips are a type of weapon,whips are a type of auto part
10,whip,weapon,insect,whips are a type of weapon,whips are a type of insect
11,whip,weapon,plant,whips are a type of weapon,whips are a type of plant
12,whip,weapon,tool,whips are a type of weapon,whips are a type of tool
13,dolphin,animal,outerwear,dolphins are a type of animal,dolphins are a type of outerwear
14,dolphin,animal,tool,dolphins are a type of animal,dolphins are a type of tool
15,dolphin,animal,school supply,dolphins are a type of animal,dolphins are a type of school supply
16,dolphin,animal,accessory,dolphins are a type of animal,dolphins are a type of accessory
17,dolphin,sea animal,bird,dolphins are a type of sea animal,dolphins are a type of bird
18,dolphin,sea animal,footwear,dolphins are a type of sea animal,dolphins are a type of footwear
19,dolphin,sea animal,furniture,dolphins are a type of sea animal,dolphins are a type of furniture
20,dolphin,sea animal,toiletry,dolphins are a type of sea animal,dolphins are a type of toiletry
21,dolphin,mammal,insect,dolphins are a type of mammal,dolphins are a type of insect
22,dolphin,mammal,protective clothing,dolphins are a type of mammal,dolphins are a type of protective clothing
23,dolphin,mammal,drink,dolphins are a type of mammal,dolphins are a type of drink
24,dolphin,mammal,electronic device,dolphins are a type of mammal,dolphins are a type of electronic device
25,polar bear,mammal,food,polar bears are a type of mammal,polar bears are a type of food
26,polar bear,mammal,plant,polar bears are a type of mammal,polar bears are a type of plant
27,polar bear,mammal,protective clothing,polar bears are a type of mammal,polar bears are a type of protective clothing
28,polar bear,mammal,electronic device,polar bears are a type of mammal,polar bears are a type of electronic device
29,polar bear,animal,insect,polar bears are a type of animal,polar bears are a type of insect
30,polar bear,animal,condiment,polar bears are a type of animal,polar bears are a type of condiment
31,polar bear,animal,office supply,polar bears are a type of animal,polar bears are a type of office supply
32,polar bear,animal,fastener,polar bears are a type of animal,polar bears are a type of fastener
33,mousse,food,accessory,mousse is a type of food,mousse is a type of accessory
34,mousse,food,tool,mousse is a type of food,mousse is a type of tool
35,mousse,food,vehicle,mousse is a type of food,mousse is a type of vehicle
36,mousse,food,livestock,mousse is a type of food,mousse is a type of livestock
37,mousse,dessert,musical instrument,mousse is a type of dessert,mousse is a type of musical instrument
38,mousse,dessert,vehicle,mousse is a type of dessert,mousse is a type of vehicle
39,mousse,dessert,sea animal,mousse is a type of dessert,mousse is a type of sea animal
40,mousse,dessert,game,mousse is a type of dessert,mousse is a type of game
41,mirror,home decor,vegetable,mirrors are a type of home decor,mirrors are a type of vegetable
