concept1,concept2,yes,no
vertebrate,animal,-8.7738037109375e-05,-10.87508773803711
vertebrate,vertebrate,-0.001529693603515625,-6.876529693603516
vertebrate,invertebrate,-10.062572479248047,-7.2479248046875e-05
vertebrate,mammal,-10.562545776367188,-4.57763671875e-05
vertebrate,bird,-10.000070571899414,-7.05718994140625e-05
vertebrate,reptile,-10.250057220458984,-5.7220458984375e-05
vertebrate,amphibian,-10.125062942504883,-6.29425048828125e-05
vertebrate,fish,-9.625089645385742,-8.96453857421875e-05
vertebrate,arthropod,-10.625045776367188,-4.57763671875e-05
vertebrate,insect,-10.625045776367188,-4.57763671875e-05
vertebrate,bird of prey,-10.562557220458984,-5.7220458984375e-05
vertebrate,aquatic bird,-9.312643051147461,-0.0001430511474609375
vertebrate,canine,-10.12506103515625,-6.103515625e-05
vertebrate,feline,-10.125057220458984,-5.7220458984375e-05
vertebrate,primate,-9.937570571899414,-7.05718994140625e-05
vertebrate,aquatic mammal,-8.875202178955078,-0.000202178955078125
vertebrate,rodent,-10.250053405761719,-5.340576171875e-05
vertebrate,bat,-9.562599182128906,-9.918212890625e-05
vertebrate,bear,-9.937570571899414,-7.05718994140625e-05
vertebrate,cat,-9.750082015991211,-8.20159912109375e-05
vertebrate,cheetah,-9.937570571899414,-7.05718994140625e-05
vertebrate,leopard,-9.62509536743164,-9.5367431640625e-05
vertebrate,lion,-9.687585830688477,-8.58306884765625e-05
vertebrate,panther,-9.500110626220703,-0.000110626220703125
vertebrate,tiger,-9.500102996826172,-0.000102996826171875
vertebrate,dog,-9.812578201293945,-7.82012939453125e-05
vertebrate,fox,-9.937572479248047,-7.2479248046875e-05
vertebrate,hyena,-9.62509536743164,-9.5367431640625e-05
vertebrate,wolf,-9.750085830688477,-8.58306884765625e-05
vertebrate,raccoon,-9.625091552734375,-9.1552734375e-05
vertebrate,skunk,-9.750085830688477,-8.58306884765625e-05
vertebrate,otter,-9.500102996826172,-0.000102996826171875
vertebrate,beaver,-9.625093460083008,-9.34600830078125e-05
vertebrate,chipmunk,-9.875072479248047,-7.2479248046875e-05
vertebrate,squirrel,-9.87507438659668,-7.43865966796875e-05
