lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
necklace,necklace,necklaces,a necklace,is a type of,necklaces are daxable.,necklaces have daxes.,p,
wagon,wagon,wagons,a wagon,are,wagons are daxable.,wagons have daxes.,p,
roadway,roadway,roadways,a roadway,is,,,p,
bag,bag,bags,a bag,is,bags are daxable.,bags have daxes.,p,
equine,equine,equines,an equine,are,,,p,
fork,fork,forks,a fork,are,forks are daxable.,forks have daxes.,p,
car,car,cars,a car,are,cars are daxable.,cars have daxes.,p,
board,board,boards,a board,are,,,p,
plumbing fixture,plumbing fixture,plumbing fixtures,a plumbing fixture,are,,,p,
fixture,fixture,fixtures,a fixture,are,,,p,
garnish,garnish,garnish,garnish,is a type of,,,s,
sailboat,sailboat,sailboats,a sailboat,are,sailboats are daxable.,sailboats have daxes.,p,
coffee,coffee,coffees,coffee,is a type of,coffee is daxable.,coffee has daxes.,s,
batter,batter,batters,a batter,are,batters are daxable.,batters have daxes.,p,
bear,bear,bears,a bear,are,bears are daxable.,bears have daxes.,p,
cucumber,cucumber,cucumbers,a cucumber,are,cucumbers are daxable.,cucumbers have daxes.,p,
topping,topping,toppings,a topping,are,,,p,
strip,strip,strips,a strip,is a type of,,,s,
piece of cloth,piece of cloth,pieces of cloth,a piece of cloth,is a type of,,,s,
photographic equipment,photographic equipment,photographic equipment,photographic equipment,are,,,p,
sail,sail,sails,a sail,are,,,p,
surfboard,surfboard,surfboards,a surfboard,is a type of,,,s,
blanket,blanket,blankets,a blanket,are,,,p,
poster,poster,posters,a poster,are,posters are daxable.,posters have daxes.,p,
baseball,baseball,baseballs,a baseball,is a type of,,,s,
thermometer,thermometer,thermometers,a thermometer,are,thermometers are daxable.,thermometers have daxes.,p,
woman,woman,women,a woman,is,,,s,
pad,pad,pads,a pad,are,,,p,
road,road,roads,a road,are,,,p,
canoe,canoe,canoes,a canoe,are,canoes are daxable.,canoes have daxes.,p,
horse,horse,horses,a horse,are,horses are daxable.,horses have daxes.,p,
pavement,pavement,pavements,a pavement,are,,,p,
cupboard,cupboard,cupboards,a cupboard,are,,,p,
pie,pie,pies,a pie,are,pies are daxable.,pies have daxes.,p,
chandelier,chandelier,chandeliers,a chandelier,are,chandeliers are daxable.,chandeliers have daxes.,p,
giraffe,giraffe,giraffes,a giraffe,are,giraffes are daxable.,giraffes have daxes.,p,
mud,mud,mud,mud,is a type of,,,s,
baby,baby,babies,a baby,is,,,s,
